"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"875",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"914",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"367",,,,"0/13/14",,,,"38.5",,,,"1493",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"447",,,,"0/13/14",,,,"38.5",,,,"1497",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"150",,,,"0/14/11",,,,"21",,,,"1496",,,,"Vine Whip, Frenzy Plant, Sludge Bomb",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"182",,,,"0/14/11",,,,"21",,,,"1496",,,,"Vine Whip, Frenzy Plant, Sludge Bomb",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"603",,,,"0/13/15",,,,"40",,,,"1496",,,,"Fire Fang, Fire Punch, Return",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"542",,,,"0/13/15",,,,"40",,,,"1496",,,,"Fire Fang, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE",,"317",,,,"0/15/13",,,,"19.5",,,,"1488",,,,"Fire Spin, Blast Burn, Dragon Claw",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"266",,,,"0/15/13",,,,"19.5",,,,"1488",,,,"Fire Spin, Blast Burn, Dragon Claw",,,"4;5;6","6"
"8","Wartortle","Squirtle","FALSE",,"169",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"253",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"48",,,,"1/15/15",,,,"23",,,,"1492",,,,"Rollout, Hydro Cannon, Skull Bash",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"72",,,,"1/15/15",,,,"23",,,,"1492",,,,"Rollout, Hydro Cannon, Skull Bash",,,"7;8;9","9"
"12","Butterfree","Caterpie","FALSE",,"972",,,,"0/13/15",,,,"33",,,,"1494",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"12","Butterfree (Shadow)","Caterpie","TRUE",,"973",,,,"0/13/15",,,,"33",,,,"1494",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"15","Beedrill","Weedle","FALSE",,"319",,,,"0/13/14",,,,"32.5",,,,"1494",,,,"Poison Jab, X-Scissor, Drill Run",,,"13;14;15","15"
"15","Beedrill (Shadow)","Weedle","TRUE",,"340",,,,"0/13/14",,,,"32.5",,,,"1494",,,,"Poison Jab, X-Scissor, Drill Run",,,"13;14;15","15"
"17","Pidgeotto","Pidgey","FALSE",,"672",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Aerial Ace",,,"16;17;18","17;18"
"17","Pidgeotto (Shadow)","Pidgey","TRUE",,"662",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Aerial Ace",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"442",,,,"0/14/14",,,,"27",,,,"1494",,,,"Gust, Feather Dance, Brave Bird",,,"16;17;18","18"
