"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"308",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"344",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"95",,,,"0/13/14",,,,"38.5",,,,"1493",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"134",,,,"0/13/14",,,,"38.5",,,,"1497",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"42",,,,"0/14/11",,,,"21",,,,"1496",,,,"Vine Whip, Frenzy Plant, Sludge Bomb",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"43",,,,"0/14/11",,,,"21",,,,"1496",,,,"Vine Whip, Frenzy Plant, Sludge Bomb",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"211",,,,"0/13/15",,,,"40",,,,"1496",,,,"Fire Fang, Fire Punch, Return",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"198",,,,"0/13/15",,,,"40",,,,"1496",,,,"Fire Fang, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE",,"156",,,,"0/15/13",,,,"19.5",,,,"1488",,,,"Fire Spin, Blast Burn, Dragon Claw",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"114",,,,"0/15/13",,,,"19.5",,,,"1488",,,,"Fire Spin, Blast Burn, Dragon Claw",,,"4;5;6","6"
"8","Wartortle","Squirtle","FALSE",,"338",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Ice Beam, Hydro Pump",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"375",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Ice Beam, Hydro Pump",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"217",,,,"1/15/15",,,,"23",,,,"1492",,,,"Water Gun, Hydro Cannon, Ice Beam",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"287",,,,"1/15/15",,,,"23",,,,"1492",,,,"Water Gun, Hydro Cannon, Ice Beam",,,"7;8;9","9"
"26","Raichu","Pikachu","FALSE",,"159",,,,"0/15/14",,,,"26",,,,"1495",,,,"Thunder Shock, Wild Charge, Brick Break",,,"25;26;172","26;172"
"26","Raichu (Alolan)","Pikachu","FALSE",,"103",,,,"1/15/15",,,,"24.5",,,,"1499",,,,"Thunder Shock, Wild Charge, Trailblaze",,,"25;26;172","26;172"
"38","Ninetales","Vulpix","FALSE",,"50",,,,"0/15/15",,,,"25",,,,"1494",,,,"Fire Spin, Weather Ball (Fire), Overheat",,,"37;38","38"
"38","Ninetales (Shadow)","Vulpix","TRUE",,"49",,,,"0/15/15",,,,"25",,,,"1494",,,,"Fire Spin, Weather Ball (Fire), Overheat",,,"37;38","38"
"43","Oddish","Oddish","FALSE",,"293",,,,"15/15/15",,,,"50",,,,"1389",,,,"Razor Leaf, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"43","Oddish (Shadow)","Oddish","TRUE",,"281",,,,"15/15/15",,,,"50",,,,"1389",,,,"Razor Leaf, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"44","Gloom","Oddish","FALSE",,"227",,,,"0/12/14",,,,"39.5",,,,"1500",,,,"Razor Leaf, Sludge Bomb, Petal Blizzard",,,"43;44;45","44;45"
"44","Gloom (Shadow)","Oddish","TRUE",,"199",,,,"0/12/14",,,,"39.5",,,,"1500",,,,"Razor Leaf, Sludge Bomb, Moonblast",,,"43;44;45","44;45"
"45","Vileplume","Oddish","FALSE",,"248",,,,"0/15/14",,,,"22",,,,"1498",,,,"Razor Leaf, Sludge Bomb, Petal Blizzard",,,"43;44;45","45"
"45","Vileplume (Shadow)","Oddish","TRUE",,"197",,,,"0/15/14",,,,"22",,,,"1498",,,,"Razor Leaf, Sludge Bomb, Moonblast",,,"43;44;45","45"
"47","Parasect","Paras","FALSE",,"135",,,,"0/13/15",,,,"32",,,,"1495",,,,"Fury Cutter, X-Scissor, Cross Poison",,,"46;47","47"
"55","Golduck","Psyduck","FALSE",,"296",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Water Gun, Cross Chop, Liquidation",,,"54;55","55"
"55","Golduck (Shadow)","Psyduck","TRUE",,"275",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Water Gun, Cross Chop, Liquidation",,,"54;55","55"
"58","Growlithe","Growlithe","FALSE",,"291",,,,"15/15/15",,,,"50",,,,"1405",,,,"Ember, Body Slam, Flamethrower",,,"58;59","58;59"
"58","Growlithe (Hisuian)","Growlithe","FALSE",,"311",,,,"15/15/14",,,,"50",,,,"1495",,,,"Ember, Rock Slide, Crunch",,,"58;59","58;59"
"58","Growlithe (Shadow)","Growlithe","TRUE",,"278",,,,"15/15/15",,,,"50",,,,"1405",,,,"Ember, Body Slam, Flamethrower",,,"58;59","58;59"
"59","Arcanine","Growlithe","FALSE",,"70",,,,"0/14/15",,,,"18.5",,,,"1497",,,,"Fire Fang, Wild Charge, Psychic Fangs",,,"58;59","59"
"59","Arcanine (Hisuian)","Growlithe","FALSE",,"243",,,,"0/14/10",,,,"18",,,,"1498",,,,"Fire Fang, Wild Charge, Rock Slide",,,"58;59","59"
"59","Arcanine (Shadow)","Growlithe","TRUE",,"67",,,,"0/14/15",,,,"18.5",,,,"1497",,,,"Fire Fang, Wild Charge, Psychic Fangs",,,"58;59","59"
"61","Poliwhirl","Poliwag","FALSE",,"292",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald, Mud Bomb",,,"60;61;62","61;62"
"61","Poliwhirl (Shadow)","Poliwag","TRUE",,"299",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald, Mud Bomb",,,"60;61;62","61;62"
"62","Poliwrath","Poliwag","FALSE",,"105",,,,"0/14/15",,,,"22",,,,"1500",,,,"Counter, Scald, Icy Wind",,,"60;61;62","62"
"62","Poliwrath (Shadow)","Poliwag","TRUE",,"165",,,,"0/14/15",,,,"22",,,,"1500",,,,"Counter, Scald, Icy Wind",,,"60;61;62","62"
"70","Weepinbell","Bellsprout","FALSE",,"202",,,,"1/15/15",,,,"40.5",,,,"1493",,,,"Bullet Seed, Power Whip, Sludge Bomb",,,"69;70;71","70;71"
"70","Weepinbell (Shadow)","Bellsprout","TRUE",,"203",,,,"1/15/15",,,,"40.5",,,,"1497",,,,"Bullet Seed, Power Whip, Sludge Bomb",,,"69;70;71","70;71"
"71","Victreebel","Bellsprout","FALSE",,"80",,,,"1/15/15",,,,"23",,,,"1500",,,,"Magical Leaf, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"71","Victreebel (Shadow)","Bellsprout","TRUE",,"147",,,,"1/15/15",,,,"23",,,,"1500",,,,"Magical Leaf, Leaf Blade, Acid Spray",,,"69;70;71","71"
"72","Tentacool","Tentacool","FALSE",,"378",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"72","Tentacool (Shadow)","Tentacool","TRUE",,"372",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"73","Tentacruel","Tentacool","FALSE",,"61",,,,"1/15/14",,,,"23.5",,,,"1496",,,,"Poison Jab, Acid Spray, Scald",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"45",,,,"1/15/14",,,,"23.5",,,,"1496",,,,"Poison Jab, Acid Spray, Scald",,,"72;73","73"
"74","Geodude (Alolan)","Geodude","FALSE",,"274",,,,"15/15/15",,,,"50",,,,"1462",,,,"Volt Switch, Rock Slide, Thunderbolt",,,"74;75;76","74;75;76"
"74","Geodude (Alolan) (Shadow)","Geodude","TRUE",,"267",,,,"15/15/15",,,,"50",,,,"1462",,,,"Volt Switch, Rock Slide, Thunderbolt",,,"74;75;76","74;75;76"
"75","Graveler (Alolan)","Geodude","FALSE",,"94",,,,"0/14/15",,,,"30.5",,,,"1500",,,,"Volt Switch, Stone Edge, Rock Blast",,,"74;75;76","75;76"
