"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"26","Raichu","Pikachu","FALSE",,"45",,,,"0/15/14",,,,"26",,,,"1500",,,,"Volt Switch, Brick Break, Trailblaze",,,"25;26;172","26;172"
"26","Raichu (Alolan)","Pikachu","FALSE",,"41",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Volt Switch, Psyshock, Trailblaze",,,"25;26;172","26;172"
"74","Geodude (Alolan)","Geodude","FALSE",,"50",,,,"15/15/15",,,,"50",,,,"1462",,,,"Volt Switch, Rock Tomb, Rock Slide",,,"74;75;76","74;75;76"
"74","Geodude (Alolan) (Shadow)","Geodude","TRUE",,"57",,,,"15/15/15",,,,"50",,,,"1462",,,,"Volt Switch, Rock Tomb, Rock Slide",,,"74;75;76","74;75;76"
"75","Graveler (Alolan)","Geodude","FALSE",,"28",,,,"0/14/15",,,,"30.5",,,,"1499",,,,"Rock Throw, Stone Edge, Rock Blast",,,"74;75;76","75;76"
"75","Graveler (Alolan) (Shadow)","Geodude","TRUE",,"25",,,,"0/14/15",,,,"30.5",,,,"1500",,,,"Rock Throw, Stone Edge, Rock Blast",,,"74;75;76","75;76"
"76","Golem (Alolan)","Geodude","FALSE",,"23",,,,"1/14/15",,,,"19",,,,"1497",,,,"Rollout*, Stone Edge, Rock Blast",,,"74;75;76","76"
"76","Golem (Alolan) (Shadow)","Geodude","TRUE",,"20",,,,"1/14/15",,,,"19",,,,"1497",,,,"Rollout*, Stone Edge, Rock Blast",,,"74;75;76","76"
"81","Magnemite","Magnemite","FALSE",,"51",,,,"12/15/13",,,,"50",,,,"1496",,,,"Volt Switch, Discharge, Magnet Bomb",,,"81;82;462","81;82;462"
"81","Magnemite (Shadow)","Magnemite","TRUE",,"47",,,,"12/15/13",,,,"50",,,,"1496",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","81;82;462"
"82","Magneton","Magnemite","FALSE",,"48",,,,"0/15/15",,,,"22.5",,,,"1499",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","82;462"
"82","Magneton (Shadow)","Magnemite","TRUE",,"46",,,,"0/15/15",,,,"22.5",,,,"1499",,,,"Thunder Shock, Discharge, Magnet Bomb",,,"81;82;462","82;462"
"101","Electrode","Voltorb","FALSE",,"15",,,,"1/15/15",,,,"27",,,,"1500",,,,"Volt Switch, Hyper Beam, Foul Play",,,"100;101","101"
