"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"313",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"312",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"232",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"258",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"98",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"148",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"12","Butterfree","Caterpie","FALSE",,"329",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"12","Butterfree (Shadow)","Caterpie","TRUE",,"328",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"15","Beedrill","Weedle","FALSE",,"112",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run",,,"13;14;15","15"
"15","Beedrill (Shadow)","Weedle","TRUE",,"103",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run",,,"13;14;15","15"
"20","Raticate (Alolan)","Rattata","FALSE",,"100",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Return",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"151",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Hyper Beam",,,"19;20","20"
"24","Arbok","Ekans","FALSE",,"223",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"24","Arbok (Shadow)","Ekans","TRUE",,"249",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"30","Nidorina","Nidoran-f","FALSE",,"136",,,,"15/15/15",,,,"50",,,,"1480",,,,"Poison Sting, Poison Fang, Thunderbolt",,,"29;30;31","30;31"
"30","Nidorina (Shadow)","Nidoran-f","TRUE",,"134",,,,"15/15/15",,,,"50",,,,"1480",,,,"Poison Sting, Poison Fang, Dig",,,"29;30;31","30;31"
"31","Nidoqueen","Nidoran-f","FALSE",,"3",,,,"0/15/12",,,,"23",,,,"1498",,,,"Mud Slap, Stone Edge, Poison Fang",,,"29;30;31","31"
"31","Nidoqueen (Shadow)","Nidoran-f","TRUE",,"7",,,,"0/15/12",,,,"23",,,,"1498",,,,"Mud Slap, Stone Edge, Poison Fang",,,"29;30;31","31"
"33","Nidorino","Nidoran-m","FALSE",,"242",,,,"8/15/15",,,,"49.5",,,,"1498",,,,"Poison Sting, Sludge Bomb, Ice Beam",,,"32;33;34","33;34"
"33","Nidorino (Shadow)","Nidoran-m","TRUE",,"259",,,,"8/15/15",,,,"49.5",,,,"1498",,,,"Poison Sting, Sludge Bomb, Ice Beam",,,"32;33;34","33;34"
"34","Nidoking","Nidoran-m","FALSE",,"218",,,,"0/14/15",,,,"22",,,,"1500",,,,"Fury Cutter, Sand Tomb, Earth Power",,,"32;33;34","34"
"34","Nidoking (Shadow)","Nidoran-m","TRUE",,"184",,,,"0/14/15",,,,"22",,,,"1500",,,,"Fury Cutter, Sand Tomb, Earth Power",,,"32;33;34","34"
"35","Clefairy","Clefairy","FALSE",,"337",,,,"15/15/15",,,,"50",,,,"1306",,,,"Zen Headbutt, Disarming Voice, Body Slam",,,"35;36;173","35;36;173"
"36","Clefable","Clefairy","FALSE",,"107",,,,"0/13/15",,,,"23.5",,,,"1498",,,,"Fairy Wind, Moonblast, Swift",,,"35;36;173","36;173"
"38","Ninetales (Alolan)","Vulpix","FALSE",,"69",,,,"0/14/12",,,,"25",,,,"1497",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"38","Ninetales (Alolan) (Shadow)","Vulpix","TRUE",,"57",,,,"0/14/12",,,,"25",,,,"1497",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"40","Wigglytuff","Jigglypuff","FALSE",,"39",,,,"0/15/12",,,,"30",,,,"1493",,,,"Charm, Icy Wind, Swift",,,"39;40;174","40;174"
"42","Golbat","Zubat","FALSE",,"117",,,,"0/15/15",,,,"29",,,,"1499",,,,"Wing Attack, Poison Fang, Shadow Ball",,,"41;42;169","42;169"
"42","Golbat (Shadow)","Zubat","TRUE",,"138",,,,"0/15/15",,,,"29",,,,"1499",,,,"Wing Attack, Poison Fang, Shadow Ball",,,"41;42;169","42;169"
"43","Oddish","Oddish","FALSE",,"272",,,,"15/15/15",,,,"50",,,,"1389",,,,"Acid, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"43","Oddish (Shadow)","Oddish","TRUE",,"273",,,,"15/15/15",,,,"50",,,,"1389",,,,"Acid, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"44","Gloom","Oddish","FALSE",,"261",,,,"0/12/14",,,,"39.5",,,,"1498",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","44;45"
"44","Gloom (Shadow)","Oddish","TRUE",,"288",,,,"0/12/14",,,,"39.5",,,,"1498",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","44;45"
"45","Vileplume","Oddish","FALSE",,"280",,,,"0/15/14",,,,"22",,,,"1499",,,,"Acid, Sludge Bomb, Petal Blizzard",,,"43;44;45","45"
"45","Vileplume (Shadow)","Oddish","TRUE",,"308",,,,"0/15/14",,,,"22",,,,"1499",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","45"
"47","Parasect","Paras","FALSE",,"265",,,,"0/13/15",,,,"32",,,,"1500",,,,"Fury Cutter, X-Scissor, Cross Poison",,,"46;47","47"
"49","Venomoth","Venonat","FALSE",,"111",,,,"0/13/15",,,,"27.5",,,,"1497",,,,"Psywave, Poison Fang, Bug Buzz",,,"48;49","49"
"49","Venomoth (Shadow)","Venonat","TRUE",,"141",,,,"0/13/15",,,,"27.5",,,,"1497",,,,"Psywave, Poison Fang, Bug Buzz",,,"48;49","49"
"53","Persian (Alolan)","Meowth","FALSE",,"271",,,,"1/15/15",,,,"34.5",,,,"1498",,,,"Feint Attack, Foul Play, Play Rough",,,"52;53;863","53"
"70","Weepinbell","Bellsprout","FALSE",,"243",,,,"1/15/15",,,,"40.5",,,,"1500",,,,"Acid, Power Whip, Seed Bomb",,,"69;70;71","70;71"
"70","Weepinbell (Shadow)","Bellsprout","TRUE",,"225",,,,"1/15/15",,,,"40.5",,,,"1500",,,,"Acid, Power Whip, Seed Bomb",,,"69;70;71","70;71"
"71","Victreebel","Bellsprout","FALSE",,"142",,,,"1/15/15",,,,"23",,,,"1498",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"71","Victreebel (Shadow)","Bellsprout","TRUE",,"126",,,,"1/15/15",,,,"23",,,,"1498",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"72","Tentacool","Tentacool","FALSE",,"269",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"72","Tentacool (Shadow)","Tentacool","TRUE",,"282",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"73","Tentacruel","Tentacool","FALSE",,"34",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Sludge Wave",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"81",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Sludge Wave",,,"72;73","73"
"78","Rapidash (Galarian)","Ponyta","FALSE",,"213",,,,"0/13/15",,,,"23",,,,"1499",,,,"Fairy Wind, Body Slam, Wild Charge",,,"77;78","78"
"80","Slowbro (Galarian)","Slowpoke","FALSE",,"183",,,,"0/14/11",,,,"23.5",,,,"1500",,,,"Confusion, Brutal Swing, Sludge Bomb",,,"79;80","80"
"88","Grimer","Grimer","FALSE",,"152",,,,"10/15/14",,,,"50",,,,"1491",,,,"Poison Jab, Sludge, Mud Bomb",,,"88;89","88;89"
"88","Grimer (Alolan)","Grimer","FALSE",,"116",,,,"10/15/14",,,,"50",,,,"1497",,,,"Poison Jab, Crunch, Sludge Bomb",,,"88;89","88;89"
"88","Grimer (Alolan) (Shadow)","Grimer","TRUE",,"160",,,,"10/15/14",,,,"50",,,,"1497",,,,"Poison Jab, Crunch, Sludge Bomb",,,"88;89","88;89"
"88","Grimer (Shadow)","Grimer","TRUE",,"42",,,,"10/15/14",,,,"50",,,,"1497",,,,"Mud Slap, Sludge, Mud Bomb",,,"88;89","88;89"
"89","Muk","Grimer","FALSE",,"146",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Thunder Punch, Dark Pulse",,,"88;89","89"
"89","Muk (Alolan)","Grimer","FALSE",,"135",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Dark Pulse, Acid Spray",,,"88;89","89"
"89","Muk (Alolan) (Shadow)","Grimer","TRUE",,"161",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Dark Pulse, Acid Spray",,,"88;89","89"
"89","Muk (Shadow)","Grimer","TRUE",,"149",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Thunder Punch, Dark Pulse",,,"88;89","89"
"93","Haunter","Gastly","FALSE",,"128",,,,"1/15/14",,,,"28.5",,,,"1498",,,,"Shadow Claw, Shadow Punch, Ice Punch",,,"92;93;94","93;94"
"93","Haunter (Shadow)","Gastly","TRUE",,"153",,,,"1/15/14",,,,"28.5",,,,"1498",,,,"Shadow Claw, Ice Punch, Shadow Ball",,,"92;93;94","93;94"
"94","Gengar","Gastly","FALSE",,"133",,,,"0/13/13",,,,"19.5",,,,"1495",,,,"Shadow Claw, Shadow Punch, Sludge Bomb",,,"92;93;94","94"
"94","Gengar (Shadow)","Gastly","TRUE",,"99",,,,"0/13/13",,,,"19.5",,,,"1495",,,,"Shadow Claw, Shadow Punch, Sludge Bomb",,,"92;93;94","94"
"105","Marowak (Alolan)","Cubone","FALSE",,"33",,,,"0/14/14",,,,"33.5",,,,"1496",,,,"Fire Spin, Bone Club, Shadow Bone",,,"104;105","105"
"105","Marowak (Alolan) (Shadow)","Cubone","TRUE",,"23",,,,"0/14/14",,,,"33.5",,,,"1496",,,,"Fire Spin, Shadow Bone, Bone Club",,,"104;105","105"
"109","Koffing","Koffing","FALSE",,"306",,,,"15/15/15",,,,"50",,,,"1373",,,,"Infestation, Sludge, Dark Pulse",,,"109;110","109;110"
"109","Koffing (Shadow)","Koffing","TRUE",,"304",,,,"15/15/15",,,,"50",,,,"1373",,,,"Infestation, Sludge, Dark Pulse",,,"109;110","109;110"
"110","Weezing","Koffing","FALSE",,"150",,,,"0/14/14",,,,"25",,,,"1500",,,,"Rollout, Sludge Bomb, Shadow Ball",,,"109;110","110"
