"ID","Pokemon","Family","Shadow","Little_Rank","Ultra_Rank","Great_Rank","Master_Rank","Little_IVs","Ultra_IVs","Great_IVs","Master_IVs","Little_Level","Ultra_Level","Great_Level","Master_Level","Little_CP","Ultra_CP","Great_CP","Master_CP","Little_MoveSet","Ultra_MoveSet","Great_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"3","Venusaur","Bulbasaur","FALSE",,"87",,,,"1/15/14",,,,"39",,,,"2500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"93",,,,"1/15/14",,,,"39",,,,"2500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"6","Charizard","Charmander","FALSE",,"90",,,,"0/13/15",,,,"35",,,,"2500",,,,"Dragon Breath, Blast Burn, Air Cutter",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"94",,,,"0/13/15",,,,"35",,,,"2500",,,,"Dragon Breath, Blast Burn, Air Cutter",,,"4;5;6","6"
"18","Pidgeot","Pidgey","FALSE",,"250",,,,"15/15/15",,,,"50",,,,"2407",,,,"Gust, Air Cutter, Brave Bird",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"270",,,,"15/15/15",,,,"50",,,,"2407",,,,"Gust, Brave Bird, Air Cutter",,,"16;17;18","18"
"20","Raticate (Alolan)","Rattata","FALSE",,"357",,,,"15/15/15",,,,"50",,,,"1927",,,,"Quick Attack, Crunch, Hyper Fang",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"354",,,,"15/15/15",,,,"50",,,,"1927",,,,"Quick Attack, Crunch, Hyper Fang",,,"19;20","20"
"22","Fearow","Spearow","FALSE",,"209",,,,"15/15/15",,,,"50",,,,"2257",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"26","Raichu","Pikachu","FALSE",,"61",,,,"15/15/14",,,,"50",,,,"2467",,,,"Thunder Shock, Brick Break, Wild Charge",,,"25;26;172","26;172"
"26","Raichu (Alolan)","Pikachu","FALSE",,"178",,,,"8/15/14",,,,"50",,,,"2496",,,,"Thunder Shock, Trailblaze, Wild Charge",,,"25;26;172","26;172"
