"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"242",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"244",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"130",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"207",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"62",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"84",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"186",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Return<sup>†</sup>",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"167",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE",,"126",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember*, Blast Burn*, Air Cutter",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"89",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember*, Blast Burn*, Air Cutter",,,"4;5;6","6"
"8","Wartortle","Squirtle","FALSE",,"67",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"116",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"5",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"11",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"12","Butterfree","Caterpie","FALSE",,"251",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"12","Butterfree (Shadow)","Caterpie","TRUE",,"252",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"15","Beedrill","Weedle","FALSE",,"118",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run*",,,"13;14;15","15"
"15","Beedrill (Shadow)","Weedle","TRUE",,"70",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run*",,,"13;14;15","15"
"17","Pidgeotto","Pidgey","FALSE",,"211",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"17","Pidgeotto (Shadow)","Pidgey","TRUE",,"212",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"68",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Air Cutter*, Brave Bird",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"79",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Brave Bird, Air Cutter*",,,"16;17;18","18"
"20","Raticate","Rattata","FALSE",,"220",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"20","Raticate (Alolan)","Rattata","FALSE",,"17",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Return<sup>†</sup>",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"45",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Hyper Beam",,,"19;20","20"
"20","Raticate (Shadow)","Rattata","TRUE",,"229",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"22","Fearow","Spearow","FALSE",,"82",,,,"0/15/14",,,,"28.5",,,,"1500",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"24","Arbok","Ekans","FALSE",,"206",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"24","Arbok (Shadow)","Ekans","TRUE",,"235",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"26","Raichu","Pikachu","FALSE",,"93",,,,"0/15/14",,,,"26",,,,"1500",,,,"Thunder Shock, Wild Charge, Brick Break",,,"25;26;172","26;172"
"26","Raichu (Alolan)","Pikachu","FALSE",,"50",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Thunder Shock, Wild Charge, Psyshock",,,"25;26;172","26;172"
