"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"6","Charizard","Charmander","FALSE",,"50",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Dragon Breath, Blast Burn, Air Cutter",,,"4;5;6","6"
"12","Butterfree","Caterpie","FALSE",,"210",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"17","Pidgeotto","Pidgey","FALSE",,"157",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Return",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"76",,,,"0/14/14",,,,"27",,,,"1499",,,,"Gust, Air Cutter, Brave Bird",,,"16;17;18","18"
"22","Fearow","Spearow","FALSE",,"16",,,,"0/15/14",,,,"28.5",,,,"1500",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"26","Raichu (Alolan)","Pikachu","FALSE",,"53",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Volt Switch, Wild Charge, Psyshock",,,"25;26;172","26;172"
"42","Golbat","Zubat","FALSE",,"135",,,,"0/15/15",,,,"29",,,,"1499",,,,"Wing Attack, Poison Fang, Shadow Ball",,,"41;42;169","42;169"
"64","Kadabra","Abra","FALSE",,"206",,,,"2/15/14",,,,"27",,,,"1500",,,,"Confusion, Shadow Ball, Dazzling Gleam",,,"63;64;65","64;65"
"65","Alakazam","Abra","FALSE",,"172",,,,"1/15/15",,,,"18",,,,"1499",,,,"Confusion, Fire Punch, Shadow Ball",,,"63;64;65","65"
"77","Ponyta (Galarian)","Ponyta","FALSE",,"195",,,,"0/15/14",,,,"37.5",,,,"1500",,,,"Psycho Cut, Swift, Play Rough",,,"77;78","77;78"
"78","Rapidash (Galarian)","Ponyta","FALSE",,"68",,,,"0/13/15",,,,"23",,,,"1499",,,,"Fairy Wind, Body Slam, Wild Charge",,,"77;78","78"
"79","Slowpoke","Slowpoke","FALSE",,"91",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Water Pulse",,,"79;80;199","79;80;199"
"79","Slowpoke (Galarian)","Slowpoke","FALSE",,"129",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Surf",,,"79;80;199","79;80;199"
"80","Slowbro","Slowpoke","FALSE",,"95",,,,"0/13/15",,,,"22.5",,,,"1500",,,,"Confusion, Drain Punch, Ice Beam",,,"79;80","80"
"80","Slowbro (Galarian)","Slowpoke","FALSE",,"100",,,,"0/14/11",,,,"23.5",,,,"1500",,,,"Confusion, Surf, Brutal Swing",,,"79;80","80"
"83","Farfetch'd","Farfetchd","FALSE",,"89",,,,"15/15/15",,,,"50",,,,"1397",,,,"Fury Cutter, Leaf Blade, Aerial Ace",,,"83;865","83;865"
"85","Dodrio","Doduo","FALSE",,"28",,,,"0/12/15",,,,"24",,,,"1496",,,,"Peck, Brave Bird, Drill Peck",,,"84;85","85"
"87","Dewgong","Seel","FALSE",,"5",,,,"0/12/15",,,,"29.5",,,,"1498",,,,"Ice Shard, Icy Wind, Drill Run",,,"86;87","87"
"91","Cloyster","Shellder","FALSE",,"84",,,,"0/13/13",,,,"22.5",,,,"1498",,,,"Ice Shard, Icy Wind, Liquidation",,,"90;91","91"
"93","Haunter","Gastly","FALSE",,"49",,,,"1/15/14",,,,"28.5",,,,"1498",,,,"Shadow Claw, Shadow Punch, Ice Punch",,,"92;93;94","93;94"
"94","Gengar","Gastly","FALSE",,"75",,,,"0/13/13",,,,"19.5",,,,"1495",,,,"Shadow Claw, Shadow Punch, Dark Pulse",,,"92;93;94","94"
"96","Drowzee","Drowzee","FALSE",,"165",,,,"15/15/14",,,,"50",,,,"1176",,,,"Confusion, Psyshock, Return",,,"96;97","96;97"
"97","Hypno","Drowzee","FALSE",,"42",,,,"0/13/13",,,,"28",,,,"1500",,,,"Confusion, Thunder Punch, Shadow Ball",,,"96;97","97"
"102","Exeggcute","Exeggcute","FALSE",,"202",,,,"15/15/14",,,,"50",,,,"1328",,,,"Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103"
"103","Exeggutor","Exeggcute","FALSE",,"190",,,,"1/15/14",,,,"18.5",,,,"1499",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"103","Exeggutor (Alolan)","Exeggcute","FALSE",,"155",,,,"1/15/14",,,,"18.5",,,,"1498",,,,"Dragon Tail, Seed Bomb, Draco Meteor",,,"102;103","103"
"105","Marowak (Alolan)","Cubone","FALSE",,"12",,,,"0/14/14",,,,"33.5",,,,"1496",,,,"Hex, Flame Wheel, Shadow Ball",,,"104;105","105"
"121","Starmie","Staryu","FALSE",,"64",,,,"0/15/11",,,,"22",,,,"1500",,,,"Psywave, Surf, Power Gem",,,"120;121","121"
"122","Mr. Mime","Mr-mime","FALSE",,"125",,,,"0/13/15",,,,"25.5",,,,"1500",,,,"Psywave, Shadow Ball, Psychic",,,"122;439;866","122;439;866"
"122","Mr. Mime (Galarian)","Mr-mime","FALSE",,"154",,,,"1/15/13",,,,"27.5",,,,"1500",,,,"Confusion, Ice Punch, Psychic",,,"122;439;866","122;439;866"
"123","Scyther","Scyther","FALSE",,"83",,,,"0/14/11",,,,"21",,,,"1500",,,,"Fury Cutter, Night Slash, X-Scissor",,,"123;212","123;212"
"124","Jynx","Jynx","FALSE",,"150",,,,"0/14/15",,,,"22",,,,"1499",,,,"Confusion, Avalanche, Psyshock",,,"124;238","124;238"
"130","Gyarados","Magikarp","FALSE",,"9",,,,"0/14/15",,,,"16.5",,,,"1498",,,,"Dragon Breath, Aqua Tail, Crunch",,,"129;130","130"
"148","Dragonair","Dratini","FALSE",,"24",,,,"1/15/15",,,,"34",,,,"1499",,,,"Dragon Breath, Aqua Tail, Dragon Pulse",,,"147;148;149","148;149"
"149","Dragonite","Dratini","FALSE",,"107",,,,"3/15/14",,,,"14.5",,,,"1498",,,,"Dragon Breath, Thunder Punch, Superpower",,,"147;148;149","149"
"157","Typhlosion (Hisuian)","Cyndaquil","FALSE",,"98",,,,"0/11/12",,,,"19",,,,"1500",,,,"Hex, Fire Punch, Wild Charge",,,"155;156;157","157"
"164","Noctowl","Hoothoot","FALSE",,"81",,,,"1/14/15",,,,"28.5",,,,"1500",,,,"Wing Attack, Sky Attack, Night Shade",,,"163;164","164"
"166","Ledian","Ledyba","FALSE",,"72",,,,"13/15/15",,,,"50",,,,"1496",,,,"Bug Bite, Dynamic Punch, Aerial Ace",,,"165;166","166"
"169","Crobat","Zubat","FALSE",,"171",,,,"0/15/12",,,,"21.5",,,,"1500",,,,"Air Slash, Poison Fang, Shadow Ball",,,"41;42;169","169"
