"ID","Pokemon","Family","Shadow","Little_Rank","Master_Rank","Ultra_Rank","Great_Rank","Little_IVs","Master_IVs","Ultra_IVs","Great_IVs","Little_Level","Master_Level","Ultra_Level","Great_Level","Little_CP","Master_CP","Ultra_CP","Great_CP","Little_MoveSet","Master_MoveSet","Ultra_MoveSet","Great_MoveSet","Evo_Fam","Evo_Next"
"3","Venusaur","Bulbasaur","FALSE",,"84",,,,"15/15/15",,,,"50",,,,"3075",,,,"Vine Whip, Frenzy Plant[etm], Sludge Bomb",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"80",,,,"15/15/15",,,,"50",,,,"3075",,,,"Vine Whip, Frenzy Plant[etm], Sludge Bomb",,,"1;2;3","3"
"6","Charizard","Charmander","FALSE",,"129",,,,"15/15/15",,,,"50",,,,"3266",,,,"Dragon Breath[etm], Blast Burn[etm], Dragon Claw",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"136",,,,"15/15/15",,,,"50",,,,"3266",,,,"Dragon Breath[etm], Blast Burn[etm], Dragon Claw",,,"4;5;6","6"
"9","Blastoise","Squirtle","FALSE",,"144",,,,"15/15/15",,,,"50",,,,"2788",,,,"Water Gun, Hydro Cannon[etm], Ice Beam",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"167",,,,"15/15/15",,,,"50",,,,"2788",,,,"Water Gun, Hydro Cannon[etm], Ice Beam",,,"7;8;9","9"
"18","Pidgeot","Pidgey","FALSE",,"444",,,,"15/15/15",,,,"50",,,,"2407",,,,"Gust[etm], Brave Bird, Aerial Ace",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"422",,,,"15/15/15",,,,"50",,,,"2407",,,,"Gust[etm], Brave Bird, Aerial Ace",,,"16;17;18","18"
"26","Raichu (Alolan)","Pikachu","FALSE",,"377",,,,"15/15/15",,,,"50",,,,"2585",,,,"Volt Switch, Wild Charge, Thunder Punch",,,"25;26;172","26;172"
"28","Sandslash","Sandshrew","FALSE",,"322",,,,"15/15/15",,,,"50",,,,"2684",,,,"Sand Attack, Night Slash[etm], Scorching Sands",,,"27;28","28"
"28","Sandslash (Alolan)","Sandshrew","FALSE",,"151",,,,"15/15/15",,,,"50",,,,"2750",,,,"Powder Snow, Ice Punch, Drill Run",,,"27;28","28"
"28","Sandslash (Alolan) (Shadow)","Sandshrew","TRUE",,"118",,,,"15/15/15",,,,"50",,,,"2750",,,,"Powder Snow, Ice Punch, Drill Run",,,"27;28","28"
"28","Sandslash (Shadow)","Sandshrew","TRUE",,"298",,,,"15/15/15",,,,"50",,,,"2684",,,,"Sand Attack, Night Slash[etm], Scorching Sands",,,"27;28","28"
"31","Nidoqueen","Nidoran-f","FALSE",,"184",,,,"15/15/15",,,,"50",,,,"2812",,,,"Poison Jab, Earth Power, Poison Fang",,,"29;30;31","31"
"31","Nidoqueen (Shadow)","Nidoran-f","TRUE",,"174",,,,"15/15/15",,,,"50",,,,"2812",,,,"Poison Jab, Earth Power, Poison Fang",,,"29;30;31","31"
"34","Nidoking","Nidoran-m","FALSE",,"343",,,,"15/15/15",,,,"50",,,,"2902",,,,"Poison Jab, Earth Power, Megahorn",,,"32;33;34","34"
"34","Nidoking (Shadow)","Nidoran-m","TRUE",,"393",,,,"15/15/15",,,,"50",,,,"2902",,,,"Poison Jab, Earth Power, Megahorn",,,"32;33;34","34"
"36","Clefable","Clefairy","FALSE",,"126",,,,"15/15/15",,,,"50",,,,"2755",,,,"Fairy Wind, Moonblast, Meteor Mash",,,"35;36;173","36;173"
"38","Ninetales","Vulpix","FALSE",,"288",,,,"15/15/15",,,,"50",,,,"2577",,,,"Fire Spin, Weather Ball (Fire), Scorching Sands",,,"37;38","38"
"38","Ninetales (Alolan)","Vulpix","FALSE",,"213",,,,"15/15/15",,,,"50",,,,"2610",,,,"Powder Snow, Weather Ball (Ice), Psyshock",,,"37;38","38"
"38","Ninetales (Alolan) (Shadow)","Vulpix","TRUE",,"171",,,,"15/15/15",,,,"50",,,,"2610",,,,"Powder Snow, Weather Ball (Ice), Psyshock",,,"37;38","38"
"38","Ninetales (Shadow)","Vulpix","TRUE",,"261",,,,"15/15/15",,,,"50",,,,"2577",,,,"Fire Spin, Weather Ball (Fire), Scorching Sands",,,"37;38","38"
"45","Vileplume","Oddish","FALSE",,"402",,,,"15/15/15",,,,"50",,,,"2893",,,,"Razor Leaf, Sludge Bomb, Moonblast",,,"43;44;45","45"
"45","Vileplume (Shadow)","Oddish","TRUE",,"364",,,,"15/15/15",,,,"50",,,,"2893",,,,"Razor Leaf, Sludge Bomb, Moonblast",,,"43;44;45","45"
"55","Golduck","Psyduck","FALSE",,"312",,,,"15/15/15",,,,"50",,,,"2770",,,,"Water Gun, Cross Chop, Liquidation",,,"54;55","55"
"55","Golduck (Shadow)","Psyduck","TRUE",,"290",,,,"15/15/15",,,,"50",,,,"2770",,,,"Water Gun, Cross Chop, Liquidation",,,"54;55","55"
"57","Primeape","Mankey","FALSE",,"384",,,,"15/15/15",,,,"50",,,,"2586",,,,"Karate Chop[etm], Close Combat, Rage Fist[etm]",,,"56;57;979","57;979"
"57","Primeape (Shadow)","Mankey","TRUE",,"139",,,,"15/15/15",,,,"50",,,,"2586",,,,"Karate Chop[etm], Close Combat, Rage Fist[etm]",,,"56;57;979","57;979"
"59","Arcanine","Growlithe","FALSE",,"170",,,,"15/15/15",,,,"50",,,,"3425",,,,"Snarl, Wild Charge, Crunch",,,"58;59","59"
"59","Arcanine (Hisuian)","Growlithe","FALSE",,"223",,,,"15/15/15",,,,"50",,,,"3556",,,,"Snarl, Wild Charge, Rock Slide",,,"58;59","59"
"59","Arcanine (Shadow)","Growlithe","TRUE",,"166",,,,"15/15/15",,,,"50",,,,"3425",,,,"Snarl, Wild Charge, Crunch",,,"58;59","59"
"62","Poliwrath","Poliwag","FALSE",,"123",,,,"15/15/15",,,,"50",,,,"2923",,,,"Counter[etm], Scald, Icy Wind",,,"60;61;62","62"
"62","Poliwrath (Shadow)","Poliwag","TRUE",,"149",,,,"15/15/15",,,,"50",,,,"2923",,,,"Counter[etm], Scald, Icy Wind",,,"60;61;62","62"
"65","Alakazam","Abra","FALSE",,"359",,,,"15/15/15",,,,"50",,,,"3456",,,,"Counter, Fire Punch, Shadow Ball",,,"63;64;65","65"
"65","Alakazam (Shadow)","Abra","TRUE",,"341",,,,"15/15/15",,,,"50",,,,"3456",,,,"Counter, Fire Punch, Shadow Ball",,,"63;64;65","65"
"68","Machamp","Machop","FALSE",,"35",,,,"15/15/15",,,,"50",,,,"3455",,,,"Karate Chop[etm], Cross Chop, Rock Slide",,,"66;67;68","68"
"68","Machamp (Shadow)","Machop","TRUE",,"22",,,,"15/15/15",,,,"50",,,,"3455",,,,"Karate Chop[etm], Cross Chop, Stone Edge[etm]",,,"66;67;68","68"
"71","Victreebel","Bellsprout","FALSE",,"391",,,,"15/15/15",,,,"50",,,,"2748",,,,"Magical Leaf[etm], Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"71","Victreebel (Shadow)","Bellsprout","TRUE",,"387",,,,"15/15/15",,,,"50",,,,"2748",,,,"Magical Leaf[etm], Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"73","Tentacruel","Tentacool","FALSE",,"162",,,,"15/15/15",,,,"50",,,,"2738",,,,"Poison Jab, Scald, Blizzard",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"195",,,,"15/15/15",,,,"50",,,,"2738",,,,"Poison Jab, Scald, Blizzard",,,"72;73","73"
"76","Golem","Geodude","FALSE",,"224",,,,"15/15/15",,,,"50",,,,"3334",,,,"Mud Shot, Stone Edge, Rock Blast",,,"74;75;76","76"
"76","Golem (Alolan)","Geodude","FALSE",,"156",,,,"15/15/15",,,,"50",,,,"3334",,,,"Rollout[etm], Wild Charge, Stone Edge",,,"74;75;76","76"
"76","Golem (Alolan) (Shadow)","Geodude","TRUE",,"161",,,,"15/15/15",,,,"50",,,,"3334",,,,"Rollout[etm], Wild Charge, Stone Edge",,,"74;75;76","76"
"76","Golem (Shadow)","Geodude","TRUE",,"168",,,,"15/15/15",,,,"50",,,,"3334",,,,"Mud Shot, Stone Edge, Rock Blast",,,"74;75;76","76"
"78","Rapidash","Ponyta","FALSE",,"251",,,,"15/15/15",,,,"50",,,,"2782",,,,"Incinerate, Wild Charge[etm], Drill Run",,,"77;78","78"
"78","Rapidash (Galarian)","Ponyta","FALSE",,"269",,,,"15/15/15",,,,"50",,,,"2782",,,,"Fairy Wind, Wild Charge[etm], Body Slam",,,"77;78","78"
"80","Slowbro","Slowpoke","FALSE",,"273",,,,"15/15/15",,,,"50",,,,"2877",,,,"Confusion, Surf[etm], Ice Beam",,,"79;80","80"
"80","Slowbro (Galarian)","Slowpoke","FALSE",,"264",,,,"15/15/15",,,,"50",,,,"2764",,,,"Poison Jab, Surf, Sludge Bomb",,,"79;80","80"
"80","Slowbro (Shadow)","Slowpoke","TRUE",,"315",,,,"15/15/15",,,,"50",,,,"2877",,,,"Confusion, Surf[etm], Ice Beam",,,"79;80","80"
"82","Magneton","Magnemite","FALSE",,"255",,,,"15/15/15",,,,"50",,,,"2810",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","82;462"
"82","Magneton (Shadow)","Magnemite","TRUE",,"216",,,,"15/15/15",,,,"50",,,,"2810",,,,"Volt Switch, Magnet Bomb, Discharge",,,"81;82;462","82;462"
"85","Dodrio","Doduo","FALSE",,"468",,,,"15/15/15",,,,"50",,,,"2670",,,,"Steel Wing, Brave Bird, Drill Peck",,,"84;85","85"
"87","Dewgong","Seel","FALSE",,"378",,,,"15/15/15",,,,"50",,,,"2245",,,,"Ice Shard[etm], Icy Wind[etm], Drill Run",,,"86;87","87"
"89","Muk","Grimer","FALSE",,"114",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Thunder Punch",,,"88;89","89"
"89","Muk (Alolan)","Grimer","FALSE",,"119",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Sludge Wave",,,"88;89","89"
"89","Muk (Alolan) (Shadow)","Grimer","TRUE",,"155",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Sludge Wave",,,"88;89","89"
"89","Muk (Shadow)","Grimer","TRUE",,"98",,,,"15/15/15",,,,"50",,,,"3117",,,,"Poison Jab, Dark Pulse, Thunder Punch",,,"88;89","89"
"91","Cloyster","Shellder","FALSE",,"281",,,,"15/15/15",,,,"50",,,,"2880",,,,"Ice Shard, Avalanche, Liquidation",,,"90;91","91"
"91","Cloyster (Shadow)","Shellder","TRUE",,"266",,,,"15/15/15",,,,"50",,,,"2880",,,,"Ice Shard, Avalanche, Liquidation",,,"90;91","91"
"94","Gengar","Gastly","FALSE",,"86",,,,"15/15/15",,,,"50",,,,"3254",,,,"Shadow Claw, Shadow Punch[etm], Sludge Bomb",,,"92;93;94","94"
"94","Gengar (Shadow)","Gastly","TRUE",,"60",,,,"15/15/15",,,,"50",,,,"3254",,,,"Shadow Claw, Shadow Punch[etm], Sludge Bomb",,,"92;93;94","94"
"97","Hypno","Drowzee","FALSE",,"460",,,,"15/15/15",,,,"50",,,,"2363",,,,"Confusion, Ice Punch, Psyshock",,,"96;97","97"
"97","Hypno (Shadow)","Drowzee","TRUE",,"457",,,,"15/15/15",,,,"50",,,,"2363",,,,"Confusion, Ice Punch, Psyshock[etm]",,,"96;97","97"
"99","Kingler","Krabby","FALSE",,"271",,,,"15/15/15",,,,"50",,,,"3198",,,,"Bubble, Crabhammer, X-Scissor",,,"98;99","99"
"101","Electrode","Voltorb","FALSE",,"461",,,,"15/15/15",,,,"50",,,,"2373",,,,"Volt Switch, Foul Play, Discharge",,,"100;101","101"
"101","Electrode (Hisuian)","Voltorb","FALSE",,"323",,,,"15/15/15",,,,"50",,,,"2430",,,,"Thunder Shock, Wild Charge, Energy Ball",,,"100;101","101"
"101","Electrode (Shadow)","Voltorb","TRUE",,"455",,,,"15/15/15",,,,"50",,,,"2373",,,,"Volt Switch, Foul Play, Discharge",,,"100;101","101"
"103","Exeggutor","Exeggcute","FALSE",,"258",,,,"15/15/15",,,,"50",,,,"3408",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"103","Exeggutor (Alolan)","Exeggcute","FALSE",,"187",,,,"15/15/15",,,,"50",,,,"3407",,,,"Dragon Tail, Seed Bomb, Draco Meteor[etm]",,,"102;103","103"
"103","Exeggutor (Alolan) (Shadow)","Exeggcute","TRUE",,"198",,,,"15/15/15",,,,"50",,,,"3407",,,,"Dragon Tail, Seed Bomb, Draco Meteor[etm]",,,"102;103","103"
"103","Exeggutor (Shadow)","Exeggcute","TRUE",,"234",,,,"15/15/15",,,,"50",,,,"3408",,,,"Bullet Seed, Seed Bomb, Psychic",,,"102;103","103"
"106","Hitmonlee","Hitmonlee","FALSE",,"295",,,,"15/15/15",,,,"50",,,,"2912",,,,"Double Kick, Close Combat, Blaze Kick",,,"106;236","106;236"
"106","Hitmonlee (Shadow)","Hitmonlee","TRUE",,"275",,,,"15/15/15",,,,"50",,,,"2912",,,,"Double Kick, Close Combat, Blaze Kick",,,"106;236","106;236"
"107","Hitmonchan","Hitmonchan","FALSE",,"374",,,,"15/15/15",,,,"50",,,,"2636",,,,"Counter, Close Combat, Ice Punch",,,"107;236","107;236"
