"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"8","Wartortle","Squirtle","FALSE",,"151",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"157",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"10",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"56",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"17","Pidgeotto","Pidgey","FALSE",,"195",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"17","Pidgeotto (Shadow)","Pidgey","TRUE",,"218",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"6",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Twister, Brave Bird",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"31",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Brave Bird, Twister",,,"16;17;18","18"
"20","Raticate","Rattata","FALSE",,"266",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"20","Raticate (Shadow)","Rattata","TRUE",,"254",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"22","Fearow","Spearow","FALSE",,"85",,,,"0/15/14",,,,"28.5",,,,"1500",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"26","Raichu (Alolan)","Pikachu","FALSE",,"37",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Thunder Shock, Wild Charge, Trailblaze",,,"25;26;172","26;172"
"35","Clefairy","Clefairy","FALSE",,"340",,,,"15/15/15",,,,"50",,,,"1306",,,,"Zen Headbutt, Disarming Voice, Body Slam",,,"35;36;173","35;36;173"
"38","Ninetales (Alolan)","Vulpix","FALSE",,"24",,,,"0/14/12",,,,"25",,,,"1497",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"38","Ninetales (Alolan) (Shadow)","Vulpix","TRUE",,"30",,,,"0/14/12",,,,"25",,,,"1497",,,,"Powder Snow, Weather Ball (Ice), Dazzling Gleam",,,"37;38","38"
"53","Persian","Meowth","FALSE",,"235",,,,"0/14/13",,,,"39",,,,"1498",,,,"Feint Attack, Night Slash*, Power Gem",,,"52;53;863","53"
"53","Persian (Shadow)","Meowth","TRUE",,"237",,,,"0/14/13",,,,"39",,,,"1498",,,,"Feint Attack, Night Slash*, Power Gem",,,"52;53;863","53"
"55","Golduck","Psyduck","FALSE",,"189",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Confusion, Cross Chop, Liquidation",,,"54;55","55"
"55","Golduck (Shadow)","Psyduck","TRUE",,"186",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Confusion, Cross Chop, Liquidation",,,"54;55","55"
"61","Poliwhirl","Poliwag","FALSE",,"245",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald*, Mud Bomb",,,"60;61;62","61;62"
"61","Poliwhirl (Shadow)","Poliwag","TRUE",,"258",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald*, Mud Bomb",,,"60;61;62","61;62"
"64","Kadabra","Abra","FALSE",,"325",,,,"2/15/14",,,,"27",,,,"1500",,,,"Confusion, Shadow Ball, Dazzling Gleam",,,"63;64;65","64;65"
"64","Kadabra (Shadow)","Abra","TRUE",,"298",,,,"2/15/14",,,,"27",,,,"1500",,,,"Psycho Cut, Shadow Ball, Dazzling Gleam",,,"63;64;65","64;65"
"65","Alakazam","Abra","FALSE",,"204",,,,"1/15/15",,,,"18",,,,"1499",,,,"Psycho Cut, Fire Punch, Shadow Ball",,,"63;64;65","65"
"65","Alakazam (Shadow)","Abra","TRUE",,"187",,,,"1/15/15",,,,"18",,,,"1499",,,,"Psycho Cut, Fire Punch, Shadow Ball",,,"63;64;65","65"
"72","Tentacool","Tentacool","FALSE",,"208",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"72","Tentacool (Shadow)","Tentacool","TRUE",,"240",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Water Pulse, Wrap",,,"72;73","72;73"
"73","Tentacruel","Tentacool","FALSE",,"59",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Payback",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"64",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Payback",,,"72;73","73"
"77","Ponyta (Galarian)","Ponyta","FALSE",,"229",,,,"0/15/14",,,,"37.5",,,,"1500",,,,"Psycho Cut, Swift, Play Rough",,,"77;78","77;78"
