"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next","Previous_evols"
"1","Bulbasaur","Bulbasaur",FALSE,570,888,,,"0/11/15","15/15/15",,,18,50,,,500,1260,,,"Vine Whip, Sludge Bomb, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3","1"
"1","Bulbasaur (Shadow)","Bulbasaur",TRUE,639,913,,,"0/11/15","15/15/15",,,18,50,,,498,1260,,,"Vine Whip, Sludge Bomb, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3","1"
"10","Caterpie","Caterpie",FALSE,529,,,,"15/15/15",,,,50,,,,494,,,,"Bug Bite, Return, Struggle",,,,"10;11;12","10;11;12","10"
"10","Caterpie (Shadow)","Caterpie",TRUE,467,,,,"15/15/15",,,,50,,,,494,,,,"Bug Bite, Struggle, Frustration",,,,"10;11;12","10;11;12","10"
"100","Voltorb","Voltorb",FALSE,623,,,,"0/12/14",,,,20,,,,498,,,,"Spark, Discharge, Signal Beam",,,,"100;101","100;101","100"
"100","Voltorb (Shadow)","Voltorb",TRUE,657,,,,"0/12/14",,,,20,,,,498,,,,"Spark, Discharge, Signal Beam",,,,"100;101","100;101","100"
"100&hisui","Voltorb (Hisuian)","Voltorb",FALSE,568,,,,"0/12/14",,,,20,,,,498,,,,"Tackle, Swift, Thunderbolt",,,,"100&hisui;101&hisui","101&hisui","100&hisui"
"1000","Gholdengo","Gimmighoul",FALSE,,701,289,53,,"0/15/10","0/15/12","15/15/15",,16,26.5,50,,1494,2495,3976,,"Astonish, Shadow Ball, Focus Blast","Astonish, Shadow Ball, Focus Blast","Astonish, Shadow Ball, Focus Blast","999;1000","1000","999;1000"
"101","Electrode","Voltorb",FALSE,573,556,540,593,"4/14/13","1/15/15","15/15/14","15/15/15",9,27,50,50,499,1496,2373,2373,"Volt Switch, Foul Play, Discharge","Volt Switch, Discharge, Foul Play","Volt Switch, Discharge, Foul Play","Volt Switch, Foul Play, Discharge","100;101","101","100;101"
"101","Electrode (Shadow)","Voltorb",TRUE,620,589,494,586,"4/14/13","1/15/15","15/15/14","15/15/15",9,27,50,50,499,1496,2373,2373,"Volt Switch, Foul Play, Discharge","Volt Switch, Discharge, Foul Play","Volt Switch, Discharge, Foul Play","Volt Switch, Foul Play, Discharge","100;101","101","100;101"
