"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"2","Ivysaur","Bulbasaur","FALSE",,"642",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"665",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"250",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"359",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant, Sludge",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"535",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Return",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"341",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE",,"70",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember, Blast Burn, Air Cutter",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"26",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember, Blast Burn, Air Cutter",,,"4;5;6","6"
"8","Wartortle","Squirtle","FALSE",,"331",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"473",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
