"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"807",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"912",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"519",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"656",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"180",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"219",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"692",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Return<sup>†</sup>",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"614",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE",,"513",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember*, Blast Burn*, Air Cutter",,,"4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"443",,,,"0/15/13",,,,"19.5",,,,"1498",,,,"Ember*, Blast Burn*, Air Cutter",,,"4;5;6","6"
"8","Wartortle","Squirtle","FALSE",,"300",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"362",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"61",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"138",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"12","Butterfree","Caterpie","FALSE",,"913",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"12","Butterfree (Shadow)","Caterpie","TRUE",,"915",,,,"0/13/15",,,,"33",,,,"1499",,,,"Confusion, Bug Buzz, Signal Beam",,,"10;11;12","12"
"15","Beedrill","Weedle","FALSE",,"448",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run*",,,"13;14;15","15"
"15","Beedrill (Shadow)","Weedle","TRUE",,"481",,,,"0/13/14",,,,"32.5",,,,"1500",,,,"Poison Sting, X-Scissor, Drill Run*",,,"13;14;15","15"
"17","Pidgeotto","Pidgey","FALSE",,"507",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"17","Pidgeotto (Shadow)","Pidgey","TRUE",,"487",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"84",,,,"0/14/14",,,,"27",,,,"1499",,,,"Gust*, Air Cutter*, Brave Bird",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"188",,,,"0/14/14",,,,"27",,,,"1499",,,,"Gust*, Air Cutter*, Brave Bird",,,"16;17;18","18"
"20","Raticate","Rattata","FALSE",,"777",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"20","Raticate (Shadow)","Rattata","TRUE",,"810",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"22","Fearow","Spearow","FALSE",,"117",,,,"0/15/14",,,,"28.5",,,,"1500",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"24","Arbok","Ekans","FALSE",,"576",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"24","Arbok (Shadow)","Ekans","TRUE",,"659",,,,"0/11/14",,,,"30.5",,,,"1499",,,,"Acid, Dark Pulse, Sludge Wave",,,"23;24","24"
"26","Raichu","Pikachu","FALSE",,"195",,,,"0/15/14",,,,"26",,,,"1500",,,,"Thunder Shock, Wild Charge, Trailblaze",,,"25;26;172","26;172"
"26","Raichu (Alolan)","Pikachu","FALSE",,"283",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Thunder Shock, Wild Charge, Trailblaze",,,"25;26;172","26;172"
"27","Sandshrew","Sandshrew","FALSE",,"620",,,,"15/15/15",,,,"50",,,,"1426",,,,"Sand Attack, Sand Tomb, Rock Tomb*",,,"27;28","27;28"
"27","Sandshrew (Shadow)","Sandshrew","TRUE",,"654",,,,"15/15/15",,,,"50",,,,"1426",,,,"Sand Attack, Sand Tomb, Rock Tomb*",,,"27;28","27;28"
