"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"8","Wartortle","Squirtle","FALSE",,"209",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE",,"234",,,,"0/14/15",,,,"50",,,,"1496",,,,"Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE",,"84",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"122",,,,"1/15/15",,,,"23",,,,"1500",,,,"Rollout, Hydro Cannon*, Skull Bash",,,"7;8;9","9"
"20","Raticate (Alolan)","Rattata","FALSE",,"159",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Return<sup>†</sup>",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"182",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Hyper Beam",,,"19;20","20"
"53","Persian (Alolan)","Meowth","FALSE",,"288",,,,"1/15/15",,,,"34.5",,,,"1498",,,,"Feint Attack, Foul Play, Play Rough",,,"52;53;863","53"
"55","Golduck","Psyduck","FALSE",,"201",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Confusion, Cross Chop, Liquidation",,,"54;55","55"
"55","Golduck (Shadow)","Psyduck","TRUE",,"179",,,,"0/10/14",,,,"23.5",,,,"1499",,,,"Confusion, Cross Chop, Liquidation",,,"54;55","55"
"56","Mankey","Mankey","FALSE",,"231",,,,"15/15/15",,,,"50",,,,"1317",,,,"Karate Chop, Cross Chop, Brick Break",,,"56;57;979","56;57;979"
"56","Mankey (Shadow)","Mankey","TRUE",,"198",,,,"15/15/15",,,,"50",,,,"1317",,,,"Karate Chop, Cross Chop, Brick Break",,,"56;57;979","56;57;979"
"57","Primeape","Mankey","FALSE",,"63",,,,"1/15/14",,,,"24.5",,,,"1498",,,,"Karate Chop*, Rage Fist*, Close Combat",,,"56;57;979","57;979"
"57","Primeape (Shadow)","Mankey","TRUE",,"76",,,,"1/15/14",,,,"24.5",,,,"1498",,,,"Karate Chop*, Rage Fist*, Close Combat",,,"56;57;979","57;979"
"61","Poliwhirl","Poliwag","FALSE",,"273",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald*, Mud Bomb",,,"60;61;62","61;62"
"61","Poliwhirl (Shadow)","Poliwag","TRUE",,"277",,,,"6/15/15",,,,"49.5",,,,"1500",,,,"Bubble, Scald*, Mud Bomb",,,"60;61;62","61;62"
"62","Poliwrath","Poliwag","FALSE",,"130",,,,"0/14/15",,,,"22",,,,"1500",,,,"Mud Shot, Icy Wind, Dynamic Punch",,,"60;61;62","62"
"62","Poliwrath (Shadow)","Poliwag","TRUE",,"136",,,,"0/14/15",,,,"22",,,,"1500",,,,"Mud Shot, Icy Wind, Dynamic Punch",,,"60;61;62","62"
"66","Machop","Machop","FALSE",,"137",,,,"15/15/15",,,,"50",,,,"1445",,,,"Karate Chop, Cross Chop, Brick Break",,,"66;67;68","66;67;68"
"66","Machop (Shadow)","Machop","TRUE",,"134",,,,"15/15/15",,,,"50",,,,"1445",,,,"Karate Chop, Cross Chop, Brick Break",,,"66;67;68","66;67;68"
"67","Machoke","Machop","FALSE",,"114",,,,"0/15/14",,,,"28",,,,"1499",,,,"Karate Chop, Cross Chop*, Return<sup>†</sup>",,,"66;67;68","67;68"
"67","Machoke (Shadow)","Machop","TRUE",,"81",,,,"0/15/14",,,,"28",,,,"1499",,,,"Karate Chop, Cross Chop*, Dynamic Punch",,,"66;67;68","67;68"
"68","Machamp","Machop","FALSE",,"90",,,,"0/14/11",,,,"18.5",,,,"1498",,,,"Karate Chop*, Cross Chop, Rock Slide",,,"66;67;68","68"
"68","Machamp (Shadow)","Machop","TRUE",,"103",,,,"0/14/11",,,,"18.5",,,,"1498",,,,"Karate Chop*, Cross Chop, Rock Slide",,,"66;67;68","68"
"72","Tentacool","Tentacool","FALSE",,"200",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Wrap, Water Pulse",,,"72;73","72;73"
"72","Tentacool (Shadow)","Tentacool","TRUE",,"221",,,,"15/15/15",,,,"50",,,,"1176",,,,"Poison Sting, Wrap, Water Pulse",,,"72;73","72;73"
"73","Tentacruel","Tentacool","FALSE",,"50",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Sludge Wave",,,"72;73","73"
"73","Tentacruel (Shadow)","Tentacool","TRUE",,"74",,,,"1/15/14",,,,"23.5",,,,"1495",,,,"Acid, Scald, Sludge Wave",,,"72;73","73"
"79","Slowpoke","Slowpoke","FALSE",,"203",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Water Pulse",,,"79;80;199","79;80;199"
"79","Slowpoke (Shadow)","Slowpoke","TRUE",,"197",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Water Pulse",,,"79;80;199","79;80;199"
"80","Slowbro","Slowpoke","FALSE",,"155",,,,"0/13/15",,,,"22.5",,,,"1500",,,,"Confusion, Drain Punch, Ice Beam",,,"79;80","80"
"80","Slowbro (Shadow)","Slowpoke","TRUE",,"170",,,,"0/13/15",,,,"22.5",,,,"1500",,,,"Confusion, Drain Punch, Ice Beam",,,"79;80","80"
"83","Farfetch'd (Galarian)","Farfetchd","FALSE",,"67",,,,"0/15/15",,,,"38",,,,"1499",,,,"Fury Cutter, Leaf Blade, Brick Break",,,"83;865","83;865"
"86","Seel","Seel","FALSE",,"300",,,,"15/15/15",,,,"50",,,,"1098",,,,"Water Gun*, Aqua Tail, Icy Wind",,,"86;87","86;87"
"86","Seel (Shadow)","Seel","TRUE",,"307",,,,"15/15/15",,,,"50",,,,"1098",,,,"Water Gun*, Aqua Tail, Icy Wind",,,"86;87","86;87"
"87","Dewgong","Seel","FALSE",,"107",,,,"0/12/15",,,,"29.5",,,,"1498",,,,"Ice Shard*, Icy Wind*, Drill Run",,,"86;87","87"
"87","Dewgong (Shadow)","Seel","TRUE",,"138",,,,"0/12/15",,,,"29.5",,,,"1498",,,,"Ice Shard*, Icy Wind*, Drill Run",,,"86;87","87"
