"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Ultra_Rank","Master_Rank","Little_IVs","Great_IVs","Ultra_IVs","Master_IVs","Little_Level","Great_Level","Ultra_Level","Master_Level","Little_CP","Great_CP","Ultra_CP","Master_CP","Little_MoveSet","Great_MoveSet","Ultra_MoveSet","Master_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE","640","976",,,"0/15/10","15/15/15",,,"18","50",,,"499","1260",,,"Vine Whip, Seed Bomb, Sludge Bomb","Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"991",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE","449","661",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"498","1500",,,"Razor Leaf, Power Whip, Sludge Bomb","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE","327","761",,,"0/10/15","0/13/14",,,"11.5","38.5",,,"498","1500",,,"Razor Leaf, Frustration, Power Whip","Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE","443","211","189","276","3/14/14","0/14/11","1/15/14","15/15/15","7","21","39","50","500","1500","2500","3075","Vine Whip, Frenzy Plant[etm], Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"269","192","265",,"0/14/11","1/15/14","15/15/15",,"21","39","50",,"1500","2500","3075",,"Vine Whip, Frenzy Plant[etm], Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","Vine Whip, Frenzy Plant[etm], Sludge Bomb","1;2;3","3"
"5","Charmeleon","Charmander","FALSE","472","697",,,"1/15/15","0/13/15",,,"11.5","40",,,"500","1500",,,"Ember, Fire Punch, Flamethrower","Ember, Fire Punch, Return<sup>†</sup>",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE","629","597",,,"1/15/15","0/13/15",,,"11.5","40",,,"500","1500",,,"Ember, Fire Punch, Flamethrower","Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"6","Charizard","Charmander","FALSE","619","413","243","181","6/15/14","0/14/13","0/15/15","15/15/15","6.5","19.5","34.5","50","499","1498","2500","3266","Air Slash, Air Cutter, Blast Burn","Ember*, Blast Burn*, Air Cutter","Dragon Breath*, Blast Burn*, Air Cutter","Dragon Breath*, Blast Burn*, Air Cutter","4;5;6","6"
"6","Charizard (Shadow)","Charmander","TRUE",,"381","248","207",,"0/14/13","0/15/15","15/15/15",,"19.5","34.5","50",,"1498","2500","3266",,"Ember*, Blast Burn*, Air Cutter","Dragon Breath*, Blast Burn*, Air Cutter","Dragon Breath[etm], Blast Burn[etm], Dragon Claw","4;5;6","6"
"8","Wartortle","Squirtle","FALSE","322","256",,,"0/11/10","0/14/15",,,"13.5","50",,,"500","1496",,,"Bite, Aqua Jet, Hydro Pump","Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"8","Wartortle (Shadow)","Squirtle","TRUE","220","359",,,"0/11/10","0/14/15",,,"13.5","50",,,"500","1496",,,"Bite, Aqua Jet, Frustration","Water Gun, Aqua Jet, Ice Beam",,,"7;8;9","8;9"
"9","Blastoise","Squirtle","FALSE","385","39","31","292","0/14/7","1/15/15","0/14/13","15/15/15","8","23","48.5","50","500","1500","2498","2788","Bite, Flash Cannon, Hydro Cannon","Rollout, Hydro Cannon*, Skull Bash","Rollout, Hydro Cannon*, Skull Bash","Water Gun, Hydro Cannon[etm], Ice Beam","7;8;9","9"
"9","Blastoise (Shadow)","Squirtle","TRUE",,"137","67","314",,"1/15/15","0/14/13","15/15/15",,"23","48.5","50",,"1500","2498","2788",,"Rollout, Hydro Cannon*, Skull Bash","Water Gun, Hydro Cannon[etm], Ice Beam","Water Gun, Hydro Cannon[etm], Ice Beam","7;8;9","9"
"10","Caterpie","Caterpie","FALSE","278",,,,"15/15/15",,,,"50",,,,"494",,,,"Bug Bite, Return, Struggle",,,,"10;11;12","10;11;12"
"10","Caterpie (Shadow)","Caterpie","TRUE","196",,,,"15/15/15",,,,"50",,,,"494",,,,"Bug Bite, Frustration, Struggle",,,,"10;11;12","10;11;12"
"11","Metapod","Caterpie","FALSE","149",,,,"14/15/15",,,,"49.5",,,,"498",,,,"Bug Bite, Return, Struggle",,,,"10;11;12","11;12"
