"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"1","Bulbasaur","Bulbasaur","FALSE",,"425",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"1","Bulbasaur (Shadow)","Bulbasaur","TRUE",,"430",,,,"15/15/15",,,,"50",,,,"1260",,,,"Vine Whip, Power Whip, Seed Bomb",,,"1;2;3","1;2;3"
"2","Ivysaur","Bulbasaur","FALSE",,"325",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"2","Ivysaur (Shadow)","Bulbasaur","TRUE",,"353",,,,"0/13/14",,,,"38.5",,,,"1500",,,,"Vine Whip, Power Whip, Sludge Bomb",,,"1;2;3","2;3"
"3","Venusaur","Bulbasaur","FALSE",,"130",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"3","Venusaur (Shadow)","Bulbasaur","TRUE",,"150",,,,"0/14/11",,,,"21",,,,"1500",,,,"Vine Whip, Frenzy Plant*, Sludge",,,"1;2;3","3"
"5","Charmeleon","Charmander","FALSE",,"243",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Return<sup>†</sup>",,,"4;5;6","5;6"
"5","Charmeleon (Shadow)","Charmander","TRUE",,"219",,,,"0/13/15",,,,"40",,,,"1500",,,,"Ember, Fire Punch, Flamethrower",,,"4;5;6","5;6"
"17","Pidgeotto","Pidgey","FALSE",,"244",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"17","Pidgeotto (Shadow)","Pidgey","TRUE",,"237",,,,"15/15/15",,,,"50",,,,"1350",,,,"Wing Attack, Air Cutter, Twister",,,"16;17;18","17;18"
"18","Pidgeot","Pidgey","FALSE",,"9",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Twister, Brave Bird",,,"16;17;18","18"
"18","Pidgeot (Shadow)","Pidgey","TRUE",,"68",,,,"0/14/14",,,,"27",,,,"1499",,,,"Wing Attack*, Twister, Brave Bird",,,"16;17;18","18"
"20","Raticate","Rattata","FALSE",,"349",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"20","Raticate (Alolan)","Rattata","FALSE",,"52",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Return<sup>†</sup>",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"92",,,,"0/13/14",,,,"39",,,,"1497",,,,"Quick Attack, Crunch, Hyper Beam",,,"19;20","20"
"20","Raticate (Shadow)","Rattata","TRUE",,"374",,,,"0/14/15",,,,"36.5",,,,"1499",,,,"Quick Attack, Hyper Fang, Dig",,,"19;20","20"
"22","Fearow","Spearow","FALSE",,"23",,,,"0/15/14",,,,"28.5",,,,"1500",,,,"Peck, Drill Peck, Drill Run",,,"21;22","22"
"27","Sandshrew","Sandshrew","FALSE",,"263",,,,"15/15/15",,,,"50",,,,"1426",,,,"Sand Attack, Sand Tomb, Rock Tomb*",,,"27;28","27;28"
"27","Sandshrew (Shadow)","Sandshrew","TRUE",,"278",,,,"15/15/15",,,,"50",,,,"1426",,,,"Sand Attack, Sand Tomb, Rock Tomb*",,,"27;28","27;28"
"28","Sandslash","Sandshrew","FALSE",,"153",,,,"0/14/15",,,,"24",,,,"1497",,,,"Sand Attack, Night Slash*, Rock Tomb",,,"27;28","28"
"28","Sandslash (Shadow)","Sandshrew","TRUE",,"193",,,,"0/14/15",,,,"24",,,,"1497",,,,"Sand Attack, Night Slash*, Rock Tomb",,,"27;28","28"
"31","Nidoqueen","Nidoran-f","FALSE",,"114",,,,"0/15/12",,,,"23",,,,"1498",,,,"Mud Slap, Earth Power, Poison Fang",,,"29;30;31","31"
"31","Nidoqueen (Shadow)","Nidoran-f","TRUE",,"108",,,,"0/15/12",,,,"23",,,,"1498",,,,"Mud Slap, Earth Power, Poison Fang",,,"29;30;31","31"
"34","Nidoking","Nidoran-m","FALSE",,"204",,,,"0/14/15",,,,"22",,,,"1500",,,,"Fury Cutter*, Sand Tomb, Earth Power",,,"32;33;34","34"
"34","Nidoking (Shadow)","Nidoran-m","TRUE",,"213",,,,"0/14/15",,,,"22",,,,"1500",,,,"Fury Cutter*, Sand Tomb, Earth Power",,,"32;33;34","34"
"38","Ninetales","Vulpix","FALSE",,"17",,,,"0/15/15",,,,"25",,,,"1496",,,,"Ember*, Weather Ball (Fire), Overheat",,,"37;38","38"
"38","Ninetales (Shadow)","Vulpix","TRUE",,"15",,,,"0/15/15",,,,"25",,,,"1496",,,,"Ember*, Weather Ball (Fire), Overheat",,,"37;38","38"
"40","Wigglytuff","Jigglypuff","FALSE",,"105",,,,"0/15/12",,,,"30",,,,"1493",,,,"Charm, Icy Wind, Swift",,,"39;40;174","40;174"
"43","Oddish","Oddish","FALSE",,"306",,,,"15/15/15",,,,"50",,,,"1389",,,,"Acid, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"43","Oddish (Shadow)","Oddish","TRUE",,"329",,,,"15/15/15",,,,"50",,,,"1389",,,,"Acid, Seed Bomb, Sludge Bomb",,,"43;44;45","43;44;45"
"44","Gloom","Oddish","FALSE",,"366",,,,"0/12/14",,,,"39.5",,,,"1498",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","44;45"
"44","Gloom (Shadow)","Oddish","TRUE",,"390",,,,"0/12/14",,,,"39.5",,,,"1498",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","44;45"
"45","Vileplume","Oddish","FALSE",,"393",,,,"0/15/14",,,,"22",,,,"1499",,,,"Acid, Sludge Bomb, Petal Blizzard",,,"43;44;45","45"
"45","Vileplume (Shadow)","Oddish","TRUE",,"421",,,,"0/15/14",,,,"22",,,,"1499",,,,"Acid, Sludge Bomb, Moonblast",,,"43;44;45","45"
"47","Parasect","Paras","FALSE",,"297",,,,"0/13/15",,,,"32",,,,"1500",,,,"Fury Cutter, X-Scissor, Cross Poison",,,"46;47","47"
"51","Dugtrio","Diglett","FALSE",,"376",,,,"0/14/15",,,,"44",,,,"1500",,,,"Sucker Punch, Mud Bomb, Stone Edge",,,"50;51","51"
"51","Dugtrio (Alolan)","Diglett","FALSE",,"342",,,,"0/14/15",,,,"29.5",,,,"1499",,,,"Mud Slap, Mud Bomb, Iron Head",,,"50;51","51"
"51","Dugtrio (Alolan) (Shadow)","Diglett","TRUE",,"351",,,,"0/14/15",,,,"29.5",,,,"1499",,,,"Mud Slap, Mud Bomb, Iron Head",,,"50;51","51"
"51","Dugtrio (Shadow)","Diglett","TRUE",,"354",,,,"0/14/15",,,,"44",,,,"1500",,,,"Sucker Punch, Mud Bomb, Stone Edge",,,"50;51","51"
"53","Persian","Meowth","FALSE",,"381",,,,"0/14/13",,,,"39",,,,"1498",,,,"Feint Attack, Night Slash*, Power Gem",,,"52;53;863","53"
"53","Persian (Shadow)","Meowth","TRUE",,"413",,,,"0/14/13",,,,"39",,,,"1498",,,,"Feint Attack, Night Slash*, Power Gem",,,"52;53;863","53"
"58","Growlithe","Growlithe","FALSE",,"222",,,,"15/15/15",,,,"50",,,,"1405",,,,"Ember, Flame Wheel, Body Slam",,,"58;59","58;59"
"58","Growlithe (Hisuian)","Growlithe","FALSE",,"128",,,,"15/15/14",,,,"50",,,,"1495",,,,"Ember, Rock Slide, Flamethrower",,,"58;59","58;59"
"58","Growlithe (Shadow)","Growlithe","TRUE",,"186",,,,"15/15/15",,,,"50",,,,"1405",,,,"Ember, Flame Wheel, Body Slam",,,"58;59","58;59"
"59","Arcanine","Growlithe","FALSE",,"190",,,,"0/14/15",,,,"18.5",,,,"1496",,,,"Fire Fang, Wild Charge, Psychic Fangs",,,"58;59","59"
"59","Arcanine (Hisuian)","Growlithe","FALSE",,"343",,,,"0/14/10",,,,"18",,,,"1500",,,,"Snarl, Wild Charge, Rock Slide",,,"58;59","59"
"59","Arcanine (Shadow)","Growlithe","TRUE",,"200",,,,"0/14/15",,,,"18.5",,,,"1496",,,,"Fire Fang, Wild Charge, Psychic Fangs",,,"58;59","59"
"70","Weepinbell","Bellsprout","FALSE",,"280",,,,"1/15/15",,,,"40.5",,,,"1500",,,,"Acid, Power Whip, Seed Bomb",,,"69;70;71","70;71"
"70","Weepinbell (Shadow)","Bellsprout","TRUE",,"249",,,,"1/15/15",,,,"40.5",,,,"1500",,,,"Acid, Power Whip, Seed Bomb",,,"69;70;71","70;71"
"71","Victreebel","Bellsprout","FALSE",,"94",,,,"1/15/15",,,,"23",,,,"1498",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"71","Victreebel (Shadow)","Bellsprout","TRUE",,"90",,,,"1/15/15",,,,"23",,,,"1498",,,,"Acid, Leaf Blade, Sludge Bomb",,,"69;70;71","71"
"74","Geodude","Geodude","FALSE",,"334",,,,"15/15/15",,,,"50",,,,"1462",,,,"Rock Throw, Rock Tomb, Rock Slide",,,"74;75;76","74;75;76"
"74","Geodude (Shadow)","Geodude","TRUE",,"299",,,,"15/15/15",,,,"50",,,,"1462",,,,"Rock Throw, Rock Tomb, Rock Slide",,,"74;75;76","74;75;76"
"75","Graveler","Geodude","FALSE",,"301",,,,"0/14/15",,,,"30.5",,,,"1499",,,,"Mud Slap, Rock Slide*, Dig",,,"74;75;76","75;76"
"75","Graveler (Shadow)","Geodude","TRUE",,"286",,,,"0/14/15",,,,"30.5",,,,"1500",,,,"Mud Slap, Rock Slide*, Dig",,,"74;75;76","75;76"
"76","Golem","Geodude","FALSE",,"399",,,,"1/14/15",,,,"19",,,,"1497",,,,"Mud Slap, Stone Edge, Earthquake",,,"74;75;76","76"
"76","Golem (Shadow)","Geodude","TRUE",,"386",,,,"1/14/15",,,,"19",,,,"1497",,,,"Mud Slap, Stone Edge, Earthquake",,,"74;75;76","76"
"77","Ponyta","Ponyta","FALSE",,"279",,,,"0/15/14",,,,"37.5",,,,"1500",,,,"Ember, Flame Wheel, Stomp",,,"77;78","77;78"
"77","Ponyta (Shadow)","Ponyta","TRUE",,"236",,,,"0/15/14",,,,"37.5",,,,"1500",,,,"Ember, Flame Wheel, Stomp",,,"77;78","77;78"
"78","Rapidash","Ponyta","FALSE",,"89",,,,"0/13/15",,,,"23",,,,"1499",,,,"Incinerate, Drill Run, Wild Charge*",,,"77;78","78"
"78","Rapidash (Shadow)","Ponyta","TRUE",,"40",,,,"0/13/15",,,,"23",,,,"1499",,,,"Incinerate, Drill Run, Wild Charge*",,,"77;78","78"
"83","Farfetch'd","Farfetchd","FALSE",,"135",,,,"15/15/15",,,,"50",,,,"1397",,,,"Fury Cutter, Leaf Blade, Aerial Ace",,,"83;865","83;865"
"85","Dodrio","Doduo","FALSE",,"20",,,,"0/12/15",,,,"24",,,,"1496",,,,"Peck, Drill Peck, Brave Bird",,,"84;85","85"
"95","Onix","Onix","FALSE",,"273",,,,"15/15/14",,,,"50",,,,"1245",,,,"Rock Throw, Rock Slide*, Sand Tomb",,,"95;208","95;208"
"95","Onix (Shadow)","Onix","TRUE",,"274",,,,"15/15/14",,,,"50",,,,"1245",,,,"Rock Throw, Rock Slide*, Sand Tomb",,,"95;208","95;208"
"101","Electrode (Hisuian)","Voltorb","FALSE",,"174",,,,"1/14/14",,,,"26.5",,,,"1500",,,,"Thunder Shock, Wild Charge, Energy Ball",,,"100;101","101"
"102","Exeggcute","Exeggcute","FALSE",,"364",,,,"15/15/14",,,,"50",,,,"1328",,,,"Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103"
"102","Exeggcute (Shadow)","Exeggcute","TRUE",,"369",,,,"15/15/14",,,,"50",,,,"1328",,,,"Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103"
"103","Exeggutor","Exeggcute","FALSE",,"330",,,,"1/15/14",,,,"18.5",,,,"1499",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"103","Exeggutor (Alolan)","Exeggcute","FALSE",,"292",,,,"1/15/14",,,,"18.5",,,,"1498",,,,"Dragon Tail, Seed Bomb, Draco Meteor*",,,"102;103","103"
"103","Exeggutor (Alolan) (Shadow)","Exeggcute","TRUE",,"314",,,,"1/15/14",,,,"18.5",,,,"1498",,,,"Dragon Tail, Seed Bomb, Draco Meteor*",,,"102;103","103"
"103","Exeggutor (Shadow)","Exeggcute","TRUE",,"307",,,,"1/15/14",,,,"18.5",,,,"1499",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"104","Cubone","Cubone","FALSE",,"385",,,,"15/15/15",,,,"50",,,,"1152",,,,"Mud Slap, Bone Club, Return<sup>†</sup>",,,"104;105","104;105"
