"ID","Pokemon","Family","Shadow","Little_Rank","Great_Rank","Master_Rank","Ultra_Rank","Little_IVs","Great_IVs","Master_IVs","Ultra_IVs","Little_Level","Great_Level","Master_Level","Ultra_Level","Little_CP","Great_CP","Master_CP","Ultra_CP","Little_MoveSet","Great_MoveSet","Master_MoveSet","Ultra_MoveSet","Evo_Fam","Evo_Next"
"20","Raticate (Alolan)","Rattata","FALSE",,"142",,,,"0/13/14",,,,"39",,,,"1497",,,,"Bite, Crunch, Return<sup>†</sup>",,,"19;20","20"
"20","Raticate (Alolan) (Shadow)","Rattata","TRUE",,"139",,,,"0/13/14",,,,"39",,,,"1497",,,,"Bite, Crunch, Hyper Fang",,,"19;20","20"
"26","Raichu (Alolan)","Pikachu","FALSE",,"112",,,,"1/15/15",,,,"24.5",,,,"1498",,,,"Volt Switch, Volt Tackle, Trailblaze",,,"25;26;172","26;172"
"53","Persian (Alolan)","Meowth","FALSE",,"38",,,,"1/15/15",,,,"34.5",,,,"1498",,,,"Scratch, Foul Play, Play Rough",,,"52;53;863","53"
"56","Mankey","Mankey","FALSE",,"164",,,,"15/15/15",,,,"50",,,,"1317",,,,"Karate Chop, Cross Chop, Brick Break",,,"56;57;979","56;57;979"
"56","Mankey (Shadow)","Mankey","TRUE",,"157",,,,"15/15/15",,,,"50",,,,"1317",,,,"Karate Chop, Cross Chop, Brick Break",,,"56;57;979","56;57;979"
"57","Primeape","Mankey","FALSE",,"94",,,,"1/15/14",,,,"24.5",,,,"1498",,,,"Karate Chop*, Rage Fist*, Ice Punch",,,"56;57;979","57;979"
"57","Primeape (Shadow)","Mankey","TRUE",,"59",,,,"1/15/14",,,,"24.5",,,,"1498",,,,"Karate Chop*, Rage Fist*, Ice Punch",,,"56;57;979","57;979"
"62","Poliwrath","Poliwag","FALSE",,"45",,,,"0/14/15",,,,"22",,,,"1500",,,,"Mud Shot, Icy Wind, Dynamic Punch",,,"60;61;62","62"
"62","Poliwrath (Shadow)","Poliwag","TRUE",,"58",,,,"0/14/15",,,,"22",,,,"1500",,,,"Mud Shot, Icy Wind, Dynamic Punch",,,"60;61;62","62"
"64","Kadabra","Abra","FALSE",,"273",,,,"2/15/14",,,,"27",,,,"1500",,,,"Confusion, Shadow Ball, Dazzling Gleam",,,"63;64;65","64;65"
"64","Kadabra (Shadow)","Abra","TRUE",,"270",,,,"2/15/14",,,,"27",,,,"1500",,,,"Confusion, Shadow Ball, Dazzling Gleam",,,"63;64;65","64;65"
"65","Alakazam","Abra","FALSE",,"222",,,,"1/15/15",,,,"18",,,,"1499",,,,"Psycho Cut, Fire Punch, Shadow Ball",,,"63;64;65","65"
"65","Alakazam (Shadow)","Abra","TRUE",,"213",,,,"1/15/15",,,,"18",,,,"1499",,,,"Psycho Cut, Fire Punch, Shadow Ball",,,"63;64;65","65"
"66","Machop","Machop","FALSE",,"89",,,,"15/15/15",,,,"50",,,,"1445",,,,"Karate Chop, Cross Chop, Brick Break",,,"66;67;68","66;67;68"
"66","Machop (Shadow)","Machop","TRUE",,"99",,,,"15/15/15",,,,"50",,,,"1445",,,,"Karate Chop, Cross Chop, Brick Break",,,"66;67;68","66;67;68"
"67","Machoke","Machop","FALSE",,"88",,,,"0/15/14",,,,"28",,,,"1499",,,,"Karate Chop, Cross Chop*, Return<sup>†</sup>",,,"66;67;68","67;68"
"67","Machoke (Shadow)","Machop","TRUE",,"47",,,,"0/15/14",,,,"28",,,,"1499",,,,"Karate Chop, Cross Chop*, Dynamic Punch",,,"66;67;68","67;68"
"68","Machamp","Machop","FALSE",,"76",,,,"0/14/11",,,,"18.5",,,,"1498",,,,"Karate Chop*, Cross Chop, Rock Slide",,,"66;67;68","68"
"68","Machamp (Shadow)","Machop","TRUE",,"66",,,,"0/14/11",,,,"18.5",,,,"1498",,,,"Karate Chop*, Cross Chop, Rock Slide",,,"66;67;68","68"
"77","Ponyta (Galarian)","Ponyta","FALSE",,"223",,,,"0/15/14",,,,"37.5",,,,"1500",,,,"Psycho Cut, Swift, Play Rough",,,"77;78","77;78"
"78","Rapidash (Galarian)","Ponyta","FALSE",,"44",,,,"0/13/15",,,,"23",,,,"1499",,,,"Fairy Wind, Body Slam, Wild Charge*",,,"77;78","78"
"79","Slowpoke","Slowpoke","FALSE",,"232",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Water Pulse",,,"79;80;199","79;80;199"
"79","Slowpoke (Galarian)","Slowpoke","FALSE",,"234",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Surf",,,"79;80;199","79;80;199"
"79","Slowpoke (Shadow)","Slowpoke","TRUE",,"248",,,,"15/15/15",,,,"50",,,,"1386",,,,"Confusion, Psyshock, Water Pulse",,,"79;80;199","79;80;199"
"80","Slowbro","Slowpoke","FALSE",,"216",,,,"0/13/15",,,,"22.5",,,,"1500",,,,"Confusion, Drain Punch, Ice Beam",,,"79;80","80"
"80","Slowbro (Galarian)","Slowpoke","FALSE",,"217",,,,"0/14/11",,,,"23.5",,,,"1500",,,,"Confusion, Drain Punch, Sludge Bomb",,,"79;80","80"
"80","Slowbro (Shadow)","Slowpoke","TRUE",,"226",,,,"0/13/15",,,,"22.5",,,,"1500",,,,"Confusion, Drain Punch, Ice Beam",,,"79;80","80"
"83","Farfetch'd (Galarian)","Farfetchd","FALSE",,"48",,,,"0/15/15",,,,"38",,,,"1499",,,,"Fury Cutter, Leaf Blade, Brick Break",,,"83;865","83;865"
"88","Grimer (Alolan)","Grimer","FALSE",,"64",,,,"10/15/14",,,,"50",,,,"1497",,,,"Poison Jab, Crunch, Sludge Bomb",,,"88;89","88;89"
"88","Grimer (Alolan) (Shadow)","Grimer","TRUE",,"113",,,,"10/15/14",,,,"50",,,,"1497",,,,"Poison Jab, Crunch, Sludge Bomb",,,"88;89","88;89"
"89","Muk (Alolan)","Grimer","FALSE",,"1",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Brutal Swing, Ice Punch",,,"88;89","89"
"89","Muk (Alolan) (Shadow)","Grimer","TRUE",,"8",,,,"0/15/14",,,,"20.5",,,,"1491",,,,"Poison Jab, Brutal Swing, Ice Punch",,,"88;89","89"
"96","Drowzee","Drowzee","FALSE",,"254",,,,"15/15/14",,,,"50",,,,"1176",,,,"Confusion, Psyshock, Return<sup>†</sup>",,,"96;97","96;97"
"96","Drowzee (Shadow)","Drowzee","TRUE",,"271",,,,"15/15/14",,,,"50",,,,"1176",,,,"Confusion, Psyshock, Psychic",,,"96;97","96;97"
"97","Hypno","Drowzee","FALSE",,"190",,,,"0/13/13",,,,"28",,,,"1500",,,,"Confusion, Shadow Ball, Thunder Punch",,,"96;97","97"
"97","Hypno (Shadow)","Drowzee","TRUE",,"211",,,,"0/13/13",,,,"28",,,,"1500",,,,"Confusion, Thunder Punch, Ice Punch",,,"96;97","97"
"102","Exeggcute","Exeggcute","FALSE",,"253",,,,"15/15/14",,,,"50",,,,"1328",,,,"Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103"
"102","Exeggcute (Shadow)","Exeggcute","TRUE",,"247",,,,"15/15/14",,,,"50",,,,"1328",,,,"Confusion, Seed Bomb, Ancient Power",,,"102;103","102;103"
"103","Exeggutor","Exeggcute","FALSE",,"249",,,,"1/15/14",,,,"18.5",,,,"1499",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"103","Exeggutor (Shadow)","Exeggcute","TRUE",,"256",,,,"1/15/14",,,,"18.5",,,,"1499",,,,"Confusion, Seed Bomb, Psychic",,,"102;103","103"
"106","Hitmonlee","Hitmonlee","FALSE",,"104",,,,"2/15/15",,,,"21.5",,,,"1500",,,,"Low Kick, Blaze Kick, Brick Break*",,,"106;236","106;236"
